censuscode,district,state,centroid_lat,centroid_lon,area_km2
96.0,West,NCT of Delhi,28.655321,77.0657,122.47
97.0,South West,NCT of Delhi,28.572377,77.027363,435.79
98.0,South,NCT of Delhi,28.501361,77.227386,254.42
99.0,Ganganagar,Rajasthan,29.395477,73.563155,10814.22
100.0,Hanumangarh,Rajasthan,29.27139,74.549011,10019.67
101.0,Bikaner,Rajasthan,28.177724,73.177397,30646.68
102.0,Churu,Rajasthan,28.345505,74.698516,14017.13
103.0,Jhunjhunun,Rajasthan,28.091906,75.552407,5960.32
104.0,Alwar,Rajasthan,27.591473,76.606022,8339.3
105.0,Bharatpur,Rajasthan,27.245655,77.278828,5068.62
106.0,Dhaulpur,Rajasthan,26.680788,77.703343,3033.28
107.0,Karauli,Rajasthan,26.520679,76.963851,4955.39
108.0,Sawai Madhopur,Rajasthan,26.216853,76.467921,5058.8
109.0,Dausa,Rajasthan,26.856096,76.513947,3492.18
110.0,Jaipur,Rajasthan,26.980451,75.72431,11333.12
111.0,Sikar,Rajasthan,27.636597,75.287545,7749.48
112.0,Nagaur,Rajasthan,27.06404,74.187948,17845.09
113.0,Jodhpur,Rajasthan,26.75083,72.788028,23229.69
114.0,Jaisalmer,Rajasthan,27.0774,70.903385,39380.83
115.0,Barmer,Rajasthan,25.735584,71.473268,29049.99
116.0,Jalor,Rajasthan,25.097771,72.211864,10934.57
117.0,Sirohi,Rajasthan,24.758906,72.774314,5244.24
118.0,Pali,Rajasthan,25.707873,73.520649,12519.22
119.0,Ajmer,Rajasthan,26.229897,74.775167,8597.26
120.0,Tonk,Rajasthan,26.14578,75.671866,7295.66
121.0,Bundi,Rajasthan,25.47004,75.777479,5615.74
122.0,Bhilwara,Rajasthan,25.479968,74.729072,10558.51
123.0,Rajsamand,Rajasthan,25.216325,73.892302,4859.89
124.0,Dungarpur,Rajasthan,23.732488,73.855135,3833.3
125.0,Banswara,Rajasthan,23.475174,74.363902,4553.92
126.0,Chittaurgarh,Rajasthan,24.828686,74.779796,7714.63
127.0,Kota,Rajasthan,25.12413,76.129317,5538.97
128.0,Baran,Rajasthan,24.995174,76.75659,6845.98
129.0,Jhalawar,Rajasthan,24.328857,76.19677,6288.22
130.0,Udaipur,Rajasthan,24.407655,73.706403,12070.79
131.0,Pratapgarh,Rajasthan,24.029425,74.68096,4348.22
132.0,Saharanpur,Uttar Pradesh,29.949577,77.547691,3732.2
133.0,Muzaffarnagar,Uttar Pradesh,29.439016,77.592319,4061.37
134.0,Bijnor,Uttar Pradesh,29.386983,78.398756,4321.69
135.0,Moradabad,Uttar Pradesh,28.775232,78.708533,3626.95
136.0,Rampur,Uttar Pradesh,28.795481,79.105475,2572.53
137.0,Jyotiba Phule Nagar,Uttar Pradesh,28.813549,78.32936,2274.65
138.0,Meerut,Uttar Pradesh,29.035726,77.793924,2617.21
139.0,Baghpat,Uttar Pradesh,29.055273,77.312862,1331.96
140.0,Ghaziabad,Uttar Pradesh,28.738921,77.706707,1981.05
141.0,Gautam Buddha Nagar,Uttar Pradesh,28.397862,77.547057,1412.06
142.0,Bulandshahr,Uttar Pradesh,28.357574,78.012305,3564.93
143.0,Aligarh,Uttar Pradesh,27.926866,78.079311,3748.44
144.0,Mahamaya Nagar,Uttar Pradesh,27.577588,78.161576,1770.62
145.0,Mathura,Uttar Pradesh,27.596807,77.627641,3360.64
146.0,Agra,Uttar Pradesh,27.03766,78.079466,4031.23
